user_id,user_url,funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis,posted_year
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,,2011-11-05,,1250,No ratings yet,True,2,2011
js41637,http://steamcommunity.com/id/js41637,,2011-07-15,,22200,No ratings yet,True,2,2011
evcentric,http://steamcommunity.com/id/evcentric,,2011-04-21,,43110,No ratings yet,True,2,2011
doctr,http://steamcommunity.com/id/doctr,,2014-06-24,,251610,15 of 20 people (75%) found this review helpful,True,2,2014
maplemage,http://steamcommunity.com/id/maplemage,,2013-09-08,,227300,0 of 1 people (0%) found this review helpful,True,0,2013
Wackky,http://steamcommunity.com/id/Wackky,,2013-11-29,,239030,1 of 4 people (25%) found this review helpful,True,0,2013
MeaTCompany,http://steamcommunity.com/id/MeaTCompany,,2015-12-04,"Last edited December 5, 2015.",370360,No ratings yet,True,2,2015
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,,2014-11-03,,237930,No ratings yet,True,2,2014
76561198156664158,http://steamcommunity.com/profiles/76561198156664158,,2014-10-15,,263360,No ratings yet,True,0,2014
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,,2014-10-15,,107200,No ratings yet,True,2,2014
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,,2014-10-15,,224500,No ratings yet,True,2,2014
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,,2013-10-14,,250320,2 of 2 people (100%) found this review helpful,True,2,2013
death-hunter,http://steamcommunity.com/id/death-hunter,,2012-07-28,,20920,1 of 1 people (100%) found this review helpful,True,2,2012
DJKamBer,http://steamcommunity.com/id/DJKamBer,,2012-06-02,,204100,1 of 1 people (100%) found this review helpful,True,2,2012
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,,2014-06-29,,224600,1 of 2 people (50%) found this review helpful,True,2,2014
76561198043472122,http://steamcommunity.com/profiles/76561198043472122,,2012-11-22,,207610,No ratings yet,True,0,2012
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,,2012-02-23,,108710,No ratings yet,True,2,2012
PPanther,http://steamcommunity.com/id/PPanther,3 people found this review funny,2014-04-15,,211420,35 of 43 people (81%) found this review helpful,True,1,2014
devvonst,http://steamcommunity.com/id/devvonst,1 person found this review funny,2013-12-23,,211820,12 of 16 people (75%) found this review helpful,True,2,2013
Fr0stedLine,http://steamcommunity.com/id/Fr0stedLine,2 people found this review funny,2014-03-14,,730,5 of 5 people (100%) found this review helpful,True,2,2014
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,,2013-07-11,,204300,No ratings yet,True,2,2013
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,,2014-05-05,,249130,7 of 8 people (88%) found this review helpful,True,0,2014
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,,2012-12-24,"Last edited November 25, 2013.",207610,1 of 1 people (100%) found this review helpful,True,0,2012
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,1 person found this review funny,2012-10-21,"Last edited November 25, 2013.",550,1 of 1 people (100%) found this review helpful,True,1,2012
tru_mu_,http://steamcommunity.com/id/tru_mu_,,2012-03-20,"Last edited June 22, 2014.",65800,1 of 1 people (100%) found this review helpful,True,0,2012
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,2012-03-09,"Last edited November 25, 2013.",220,No ratings yet,True,2,2012
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,5 people found this review funny,2015-02-01,,72850,3 of 3 people (100%) found this review helpful,True,0,2015
Leaf_Light_Moscow,http://steamcommunity.com/id/Leaf_Light_Moscow,1 person found this review funny,2014-06-20,,440,3 of 3 people (100%) found this review helpful,True,1,2014
76561198085547365,http://steamcommunity.com/profiles/76561198085547365,,2014-08-25,"Last edited July 30, 2015.",304930,No ratings yet,True,1,2014
76561198061252210,http://steamcommunity.com/profiles/76561198061252210,,2013-12-25,,4000,0 of 1 people (0%) found this review helpful,True,1,2013
OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,,2012-06-23,,42910,0 of 2 people (0%) found this review helpful,True,1,2012
boydeer,http://steamcommunity.com/id/boydeer,,2015-09-05,,232090,0 of 1 people (0%) found this review helpful,True,2,2015
VVillis,http://steamcommunity.com/id/VVillis,,2015-03-30,,1250,No ratings yet,True,2,2015
76561198083226897,http://steamcommunity.com/profiles/76561198083226897,,2014-02-19,,4000,No ratings yet,True,2,2014
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,,2014-07-14,,304930,2 of 4 people (50%) found this review helpful,True,0,2014
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,,2013-04-27,,570,0 of 1 people (0%) found this review helpful,True,2,2013
76561198170198366,http://steamcommunity.com/profiles/76561198170198366,1 person found this review funny,2015-07-20,,218620,2 of 6 people (33%) found this review helpful,True,2,2015
diego9031,http://steamcommunity.com/id/diego9031,,2013-11-04,,224260,No ratings yet,True,2,2013
jarrodtrim,http://steamcommunity.com/id/jarrodtrim,,2013-07-12,,1250,No ratings yet,True,2,2013
76561198078738103,http://steamcommunity.com/profiles/76561198078738103,,2012-08-19,,440,No ratings yet,True,1,2012
76561198067936203,http://steamcommunity.com/profiles/76561198067936203,,2015-06-19,,730,1 of 3 people (33%) found this review helpful,True,2,2015
76561198079770573,http://steamcommunity.com/profiles/76561198079770573,,2014-09-20,,440,0 of 2 people (0%) found this review helpful,True,2,2014
76561198087586464,http://steamcommunity.com/profiles/76561198087586464,,2014-09-07,,49520,0 of 2 people (0%) found this review helpful,True,0,2014
Derp-e,http://steamcommunity.com/id/Derp-e,,2014-12-19,,33440,1 of 3 people (33%) found this review helpful,False,0,2014
